Song Title,Artist,Lyrics
 Landmine,Post Malone,Oohah ahh And all my friends Take vitamins Break off perfect pieces With violence And outside Im burnin my way through a stoplight Baby Im fine Im just workin my way through a deadline And all my friends Invite em in Light my cigarette And hope someones watchin But to be honest I fumble for the thrill of it Innocent militantlike And outside Im burnin my way through a stoplight Baby Im fine Im just thumbin my way through a landmine See Post Malone LiveGet tickets as low as 43You might also like And if youre gettin sick of it Imagine how I must feel But if youre gettin rid of it Then maybe Ill just keep some myself And outside Im burnin my way through a stoplight Baby Im fine Im just thumbin my way through a landmine Ahah ahahah1Embed Oohah ahh And all my friends Take vitamins Break off perfect pieces With violence And outside Im burnin my way through a stoplight Baby Im fine Im just workin my way through a deadline And all my friends Invite em in Light my cigarette And hope someones watchin But to be honest I fumble for the thrill of it Innocent militantlike And outside Im burnin my way through a stoplight Baby Im fine Im just thumbin my way through a landmine And if youre gettin sick of it Imagine how I must feel But if youre gettin rid of it Then maybe Ill just keep some myself And outside Im burnin my way through a stoplight Baby Im fine Im just thumbin my way through a landmine Ahah ahahah
 Green Thumb,Post Malone,Dada dumdum Drove by your house and noticed it was overgrown Your flowers are all dead and I thought you should know What happened to your green thumb that you were so proud of Their bodies were scattered and starving for love Starving for love One one one was on his deathbed He told me you left long ago Oh no he said with his last breath Wake up shes not comin home Dada dumdum He must be so cool and own a motorcycle Buy you new flowers to replace what you left My new love pours herself out more than Id like Her name is Brandy well be married tonight Married tonight See Post Malone LiveGet tickets as low as 43You might also like When I I I Im on my deathbed Ill remember you left long ago Oh no I hear the nurse say Goodnight shes never comin home3Embed Dada dumdum Drove by your house and noticed it was overgrown Your flowers are all dead and I thought you should know What happened to your green thumb that you were so proud of Their bodies were scattered and starving for love Starving for love One one one was on his deathbed He told me you left long ago Oh no he said with his last breath Wake up shes not comin home Dada dumdum He must be so cool and own a motorcycle Buy you new flowers to replace what you left My new love pours herself out more than Id like Her name is Brandy well be married tonight Married tonight When I I I Im on my deathbed Ill remember you left long ago Oh no I hear the nurse say Goodnight shes never comin home
 Laugh It Off,Post Malone,When we was lyin down on the floor You said I should smile more I was killin your vibe Pretend I didnt hear your voice But baby I was takin notes Keep that in mind Hey you say you hate me Hahaha I laugh it off Your mind is made and I cant change it Somehahow Havent seen the sun in a month But its all sunshine I forgot how to cry It feels like pain pain is a world away Took my cigarettes and flushed them down the drain ahah Okay okay Im lyin Mm hey you say you hate me Hahaha I laugh it off Your mind is made and I cant change it Somehahow I laugh it off See Post Malone LiveGet tickets as low as 43You might also like And if I learned anything at all Smile Talk to me I know its over Ill listen like I did before Hey you say you hat me Hahaha I laughed it off When I fuck up lik I have lately Somehahow I laugh it off And if I learned anything at all Smile smile And if I learned anything at all Smile smile Oohooh oohoohooh Ahh Oohooh oohoohooh Ahh Ahah ahahah Oohooh oohoohooh Ahah ahahah Oohooh oohoohooh4Embed When we was lyin down on the floor You said I should smile more I was killin your vibe Pretend I didnt hear your voice But baby I was takin notes Keep that in mind Hey you say you hate me Hahaha I laugh it off Your mind is made and I cant change it Somehahow Havent seen the sun in a month But its all sunshine I forgot how to cry It feels like pain pain is a world away Took my cigarettes and flushed them down the drain ahah Okay okay Im lyin Mm hey you say you hate me Hahaha I laugh it off Your mind is made and I cant change it Somehahow I laugh it off And if I learned anything at all Smile Talk to me I know its over Ill listen like I did before Hey you say you hat me Hahaha I laughed it off When I fuck up lik I have lately Somehahow I laugh it off And if I learned anything at all Smile smile And if I learned anything at all Smile smile Oohooh oohoohooh Ahh Oohooh oohoohooh Ahh Ahah ahahah Oohooh oohoohooh Ahah ahahah Oohooh oohoohooh
 Joy,Post Malone,Joy is the coldest lover I know Only because she never comes I was the coolest dude I know Guess I was born too close to the sun The harder I try the more I become miserable The higher I fly the lower I go oh no Is what we want who we are Ahooh Pray for me I dont wanna be ah Miserable Joy is the coldest lover I know Some reason I keep comin back for mo More I crashed my car the paint job was off Lalalalala Will I ven know if its too much Mm The harder I try th more I become miserable The higher I fly the lower I go oh no See Post Malone LiveGet tickets as low as 43You might also like Is what we want who we are Ahooh Pray for me I dont wanna be ah Miserable The harder I try the more I become miserable The higher I fly the lower I go oh no Is what we want who we are Ahooh Pray for me I dont wanna be ah Miserable Oohooh oohooh oohooh Oohooh oohooh oohooh Ooh oohooh oohooh oohooh Ooh oohooh oohooh oohooh Miserable Oohooh oohooh oohooh Miserable Oohooh oohooh oohooh Miserable Oohooh oohooh oohooh Miserable Oohooh oohooh oohooh Miserable Oohooh oohooh oohooh Miserable Oohooh oohooh oohooh Miserable Oohooh oohooh oohooh Miserable Oohooh oohooh oohooh1Embed Joy is the coldest lover I know Only because she never comes I was the coolest dude I know Guess I was born too close to the sun The harder I try the more I become miserable The higher I fly the lower I go oh no Is what we want who we are Ahooh Pray for me I dont wanna be ah Miserable Joy is the coldest lover I know Some reason I keep comin back for mo More I crashed my car the paint job was off Lalalalala Will I ven know if its too much Mm The harder I try th more I become miserable The higher I fly the lower I go oh no Is what we want who we are Ahooh Pray for me I dont wanna be ah Miserable The harder I try the more I become miserable The higher I fly the lower I go oh no Is what we want who we are Ahooh Pray for me I dont wanna be ah Miserable Oohooh oohooh oohooh Oohooh oohooh oohooh Ooh oohooh oohooh oohooh Ooh oohooh oohooh oohooh Miserable Oohooh oohooh oohooh Miserable Oohooh oohooh oohooh Miserable Oohooh oohooh oohooh Miserable Oohooh oohooh oohooh Miserable Oohooh oohooh oohooh Miserable Oohooh oohooh oohooh Miserable Oohooh oohooh oohooh Miserable Oohooh oohooh oohooh
 Reputation,Post Malone,Take my own life just to save yours Drink it all down just to throw it up Take my own life just to save yours Just to save yours Take my own life just to save yours I got a reputation that I cant deny Youre the superstar entertain us Entertain us Entertain us but please dont wake me up I betrayed us but us dont give a fuck Kill myself today kill it all away Broken path I made Please just stay away I know I fucked up before but I wont do it again And I got a lot of things that I wish I wouldve said And Im the same damn fool and Im wearin that hat again I know I fucked up and I cant make it right Watch yourself I cant slow down This is who I am cant be anyon else so Dont let m go save yourself Just save yourself just save yourself I was born to raise hell I was born to take pills I was born to chase mills I was born to cave in I was born to fuck hoes I was born to fuck up I was born what a shame See Post Malone LiveGet tickets as low as 43You might also like Take my own life just to save yours Drink it all down just to throw it up Take my own life just to save yours Just to save yours Take my own life just to save yours I got a reputation that I cant deny Youre the superstar entertain us Entertain us Cut my thumb up Count my check count my check Let me choke on my cigarettes cigarettes Cut my thumb up Count my check count my check Let me choke on my cigarettes and heavy debt22Embed Take my own life just to save yours Drink it all down just to throw it up Take my own life just to save yours Just to save yours Take my own life just to save yours I got a reputation that I cant deny Youre the superstar entertain us Entertain us Entertain us but please dont wake me up I betrayed us but us dont give a fuck Kill myself today kill it all away Broken path I made Please just stay away I know I fucked up before but I wont do it again And I got a lot of things that I wish I wouldve said And Im the same damn fool and Im wearin that hat again I know I fucked up and I cant make it right Watch yourself I cant slow down This is who I am cant be anyon else so Dont let m go save yourself Just save yourself just save yourself I was born to raise hell I was born to take pills I was born to chase mills I was born to cave in I was born to fuck hoes I was born to fuck up I was born what a shame Take my own life just to save yours Drink it all down just to throw it up Take my own life just to save yours Just to save yours Take my own life just to save yours I got a reputation that I cant deny Youre the superstar entertain us Entertain us Cut my thumb up Count my check count my check Let me choke on my cigarettes cigarettes Cut my thumb up Count my check count my check Let me choke on my cigarettes and heavy debt
 Lemon Tree,Post Malone,Couldnt fall asleep all night I tried with all my might I thought I knew what you want It isnt all that nice But I guess it will suffice Its hard to know what you want Could you be A little less sour were rottin by the hour And my hearts rotten too In every film I watch Im on the side of the bad guy So turn around and show me that Im better Some people got an apple some people got a tangerine Look around and all I see is people happy with what theyre given Life is pretty sweet Im told I guess Im just shit outta luck growing a lemon tree Im gonna burn it down and grow me somethin bettr Heyah heyah Blood on my hands Im on the fnce I double down A swing and a miss a kick in the ribs in trouble now Came from the dirt back in the ground when I die But Ima survive I got my ways Oh oh See Post Malone LiveGet tickets as low as 43You might also like Could you be A little less sour were rottin by the hour And my hearts rotten too In every film I watch Im on the side of the bad guy So turn around and show me that Im better Some people got an apple some people got a tangerine Some people got a tangerine na na na Look around and all I see is people happy with what theyre given Life is pretty sweet Im told Im told I guess Im shit outta luck growin a lemon tree Growin a lemon tree Im gonna burn it down and grow me somethin better Heyah heyah And grow me somethin better And grow me somethin better And grow me somethin better16Embed Couldnt fall asleep all night I tried with all my might I thought I knew what you want It isnt all that nice But I guess it will suffice Its hard to know what you want Could you be A little less sour were rottin by the hour And my hearts rotten too In every film I watch Im on the side of the bad guy So turn around and show me that Im better Some people got an apple some people got a tangerine Look around and all I see is people happy with what theyre given Life is pretty sweet Im told I guess Im just shit outta luck growing a lemon tree Im gonna burn it down and grow me somethin bettr Heyah heyah Blood on my hands Im on the fnce I double down A swing and a miss a kick in the ribs in trouble now Came from the dirt back in the ground when I die But Ima survive I got my ways Oh oh Could you be A little less sour were rottin by the hour And my hearts rotten too In every film I watch Im on the side of the bad guy So turn around and show me that Im better Some people got an apple some people got a tangerine Some people got a tangerine na na na Look around and all I see is people happy with what theyre given Life is pretty sweet Im told Im told I guess Im shit outta luck growin a lemon tree Growin a lemon tree Im gonna burn it down and grow me somethin better Heyah heyah And grow me somethin better And grow me somethin better And grow me somethin better
 Wrapped Around Your Finger,Post Malone,You keep me wrapped around your finger Wrapped around your finger I was caught up in your orbit spinnin like a bullet I was wrapped around your finger wrapped around your finger Then I shot back down to Earth I cant call you right now I been drinking And I know that Ill say what Im thinking My whole life I was drawn to the deep end When will it sink in Why do I tell myself that Ill do the best I can I know damn well that you couldnt give a damn Ten billion cuties that think Im the man But if you come around Ill be eatin out your hand Keep me wrapped around your finger Wrapped around your finger I was caught up in your orbit spinnin like a bullet I was wrapped around your finger wrapped around your finger Then I shot back down to Earth Shot back down to Earth I keep wondering whos th one replacing me Tak me back to yesterday When I was wrapped around your finger Wrapped around your finger Then was shot back down to Earth Shot back down to Earth See Post Malone LiveGet tickets as low as 43You might also like When we met you aint know I was a singer You werent impressed by all the ice on my fingers So icy I had your mom and daddys house on my pinky My pinky If Ida known what itd be like now I wouldnt be in misery right now Look in the mirror I dont see myself Being with me has gotta be like hell So tell the devil Ima be right down You keep me wrapped around your finger Wrapped around your finger I was caught up in your orbit Spinnin like a bullet Spinnin like a bullet I was wrapped around your finger wrapped around your finger Then I shot back down to Earth Shot back down to Earth I keep wondering whos the one replacing me Oh Take me back to yesterday When I was wrapped around your finger Wrapped around your finger Then was shot back down to Earth Shot back down to Earth Yeah Im wrapped around and around And around on your finger now Ooh ooh ooh You got me wrapped around and around And around on your finger now Ooh ooh Ima be right down You keep me wrapped around your finger Wrapped around your finger I was caught up in your orbit Spinnin like a bullet Spinnin like a bullet I was wrapped around your finger wrapped around your finger Then I shot back down to Earth Then was shot back down to Earth I keep wondering whos the one replacing me Take me back to yesterday When I was wrapped around your finger Wrapped around your finger Then was shot back down to Earth16Embed You keep me wrapped around your finger Wrapped around your finger I was caught up in your orbit spinnin like a bullet I was wrapped around your finger wrapped around your finger Then I shot back down to Earth I cant call you right now I been drinking And I know that Ill say what Im thinking My whole life I was drawn to the deep end When will it sink in Why do I tell myself that Ill do the best I can I know damn well that you couldnt give a damn Ten billion cuties that think Im the man But if you come around Ill be eatin out your hand Keep me wrapped around your finger Wrapped around your finger I was caught up in your orbit spinnin like a bullet I was wrapped around your finger wrapped around your finger Then I shot back down to Earth Shot back down to Earth I keep wondering whos th one replacing me Tak me back to yesterday When I was wrapped around your finger Wrapped around your finger Then was shot back down to Earth Shot back down to Earth When we met you aint know I was a singer You werent impressed by all the ice on my fingers So icy I had your mom and daddys house on my pinky My pinky If Ida known what itd be like now I wouldnt be in misery right now Look in the mirror I dont see myself Being with me has gotta be like hell So tell the devil Ima be right down You keep me wrapped around your finger Wrapped around your finger I was caught up in your orbit Spinnin like a bullet Spinnin like a bullet I was wrapped around your finger wrapped around your finger Then I shot back down to Earth Shot back down to Earth I keep wondering whos the one replacing me Oh Take me back to yesterday When I was wrapped around your finger Wrapped around your finger Then was shot back down to Earth Shot back down to Earth Yeah Im wrapped around and around And around on your finger now Ooh ooh ooh You got me wrapped around and around And around on your finger now Ooh ooh Ima be right down You keep me wrapped around your finger Wrapped around your finger I was caught up in your orbit Spinnin like a bullet Spinnin like a bullet I was wrapped around your finger wrapped around your finger Then I shot back down to Earth Then was shot back down to Earth I keep wondering whos the one replacing me Take me back to yesterday When I was wrapped around your finger Wrapped around your finger Then was shot back down to Earth
 Insane,Post Malone,Yeah we want to go insane Take your bitch give her back insane Sent her packing she was actin crazy Goin batshit in the backseat range She was classy now she nasty hey Im a bachelor Im a bastard hey Wow Dont believe me You can ask her hey Goin batshit in the backseat range She was classy now she nasty hey Bring that ass meet me back stage A million racks I need it cash cake Yeah we both got a car but its different Yeah we both got a house but its different Yah we both got teeth but its different Both got teeth both got teeth yah I wanna see somethin in a short skirt please I wanna see somethin in a shirt skort please Wow Treat my top like my ex Ima cut it off completely Treat my top like my ex Ima cut it off completely Skrrt skrrt Take your bitch give her back insane Wow Sent her packing she was actin crazy Goin batshit in the backseat range Wow She was classy now she nasty hey Im a bachelor Im a bastard hey Wow Dont believe me You can ask her hey Goin batshit in the backseat range Ooh She was classy now she nasty hey Wow See Post Malone LiveGet tickets as low as 43You might also like Second verse second verse yay Second verse second verse again Put her on game this is not the same though This is a Mulsanne diamonds make a rainbow Keep my Glocky tucked like a baby in a manger When your girl around me she treat you like a stranger I got 20 30 strippers in the Sprinter van Its a little cramped to try to teach me how to dance Ooh you talkin that shit but You aint gonna do shit ooh Gonna do shit ooh I aint even gotta get up Get it Aint nobody scared of you ooh Damn Take your bitch give her back insane Wow Sent her packing she was actin crazy Goin batshit in the backseat range She was classy now she nasty hey Im a bachelor Im a bastard hey Wow Dont believe me You can ask her hey Goin batshit in the backseat range Wow She was classy now she nasty hey Hey6Embed Yeah we want to go insane Take your bitch give her back insane Sent her packing she was actin crazy Goin batshit in the backseat range She was classy now she nasty hey Im a bachelor Im a bastard hey Wow Dont believe me You can ask her hey Goin batshit in the backseat range She was classy now she nasty hey Bring that ass meet me back stage A million racks I need it cash cake Yeah we both got a car but its different Yeah we both got a house but its different Yah we both got teeth but its different Both got teeth both got teeth yah I wanna see somethin in a short skirt please I wanna see somethin in a shirt skort please Wow Treat my top like my ex Ima cut it off completely Treat my top like my ex Ima cut it off completely Skrrt skrrt Take your bitch give her back insane Wow Sent her packing she was actin crazy Goin batshit in the backseat range Wow She was classy now she nasty hey Im a bachelor Im a bastard hey Wow Dont believe me You can ask her hey Goin batshit in the backseat range Ooh She was classy now she nasty hey Wow Second verse second verse yay Second verse second verse again Put her on game this is not the same though This is a Mulsanne diamonds make a rainbow Keep my Glocky tucked like a baby in a manger When your girl around me she treat you like a stranger I got 20 30 strippers in the Sprinter van Its a little cramped to try to teach me how to dance Ooh you talkin that shit but You aint gonna do shit ooh Gonna do shit ooh I aint even gotta get up Get it Aint nobody scared of you ooh Damn Take your bitch give her back insane Wow Sent her packing she was actin crazy Goin batshit in the backseat range She was classy now she nasty hey Im a bachelor Im a bastard hey Wow Dont believe me You can ask her hey Goin batshit in the backseat range Wow She was classy now she nasty hey Hey
 Love/Hate Letter To Alcohol (with Fleet Foxes),Post Malone,I guess I shoulda kept that shit to myself Turns out Im pretty good at running my mouth But not good enough You know when I go in its lights out I couldnt hear a thing cause the song was too loud Last night I had 32 teeth in my mouth Some went away Whyd you have to go and fucking ruin my day Youre the reason why I got my ass kicked But youre the only way to drown my sadness This is my lovehate letter out to alcohol Youre the reason why I got my ass kicked I was laid out flat like a centerfold Jakey and his partner drove me home Looking in the mirror somethings wrong Let me get my dentist on the phone Found my keys then I went back out Someone asked me how it all went down I remember like its yesterday I took a shot took a shot took a shot took another shot Fell right out my fucking chair swinging for his eye Then a big chrome ring flew in from the side I thought I died Whyd you have to go and fucking ruin my night Youre the reason why I got my ass kicked But youre the only way to drown my sadness This is my lovehate letter out to alcohol Youre the reason why I got my ass kickedSee Post Malone LiveGet tickets as low as 43You might also likeEmbed I woke up on the ground I guess I shoulda kept that shit to myself Turns out Im pretty good at running my mouth But not good enough You know when I go in its lights out I couldnt hear a thing cause the song was too loud Last night I had 32 teeth in my mouth Some went away Whyd you have to go and fucking ruin my day Youre the reason why I got my ass kicked But youre the only way to drown my sadness This is my lovehate letter out to alcohol Youre the reason why I got my ass kicked I was laid out flat like a centerfold Jakey and his partner drove me home Looking in the mirror somethings wrong Let me get my dentist on the phone Found my keys then I went back out Someone asked me how it all went down I remember like its yesterday I took a shot took a shot took a shot took another shot Fell right out my fucking chair swinging for his eye Then a big chrome ring flew in from the side I thought I died Whyd you have to go and fucking ruin my night Youre the reason why I got my ass kicked But youre the only way to drown my sadness This is my lovehate letter out to alcohol Youre the reason why I got my ass kicked
 Euthanasia,Post Malone,Took a fuckin sip from my ash can It didnt bother me too much I spit another tooth in the trash can I gave up on keepin me in touch When I go out it aint gonna hurt at all A choir of angels euthanasia Behold a sober moment Too short and far between I should crack one open To celebrate bein clean When I go out it aint gonna hurt at all An end to anger euthanasia When I go out it aint gonna hurt at all Familiar stranger euthanasia They say its painless EuthanasiaSee Post Malone LiveGet tickets as low as 43You might also like4Embed Took a fuckin sip from my ash can It didnt bother me too much I spit another tooth in the trash can I gave up on keepin me in touch When I go out it aint gonna hurt at all A choir of angels euthanasia Behold a sober moment Too short and far between I should crack one open To celebrate bein clean When I go out it aint gonna hurt at all An end to anger euthanasia When I go out it aint gonna hurt at all Familiar stranger euthanasia They say its painless Euthanasia
 When I’m Alone,Post Malone,We made a pact youd take me back always again Im bleedin out I need you now cant let you win I want it all I want it all I push so hard I break it My only home went down in smoke Its bittersweet I taste it So are you lonely Cause Im healin slowly In a moment your memory is fading on me Got no expectations now that Im forsaken Lets see what Im made of find out if I can take it now When Im alone pretend Im letting you go Just tell me who to blame for this When wakin up feels like a punch in the gut Just tell me whos to blame for this All I wanted was a piece of decent on the side On the side When we go to bed she be creepin on my side On my side I was drinkin all day I let her spend the night When I took her home she left somethin in my ride in my ride Damn Then my baby found out Now Im livin in a hotel livin in a hotel Aint that bad I got room service Livin in a hotel livin in a hotel What your life like Need a lifeline right now Ninetynine nights tryna get my mind right now Life is sour even when Im in the limelight now But I try somehow See Post Malone LiveGet tickets as low as 43You might also like When Im alone pretend Im letting you go Just tell me who to blame for this When wakin up feels like a punch in the gut Just tell me whos to blame for this Tadadada tadadada tadadada Just tell me whos to blame for this Tadadada tadadada tadadada Just tell me whos to blame for this Tadadada tadadada tadadada Just tell me whos Tadadada tadadada tadadada Tadadada tadadada tadadada Tadadada tadadada tadadada Tadadada tadadada tadadada4Embed We made a pact youd take me back always again Im bleedin out I need you now cant let you win I want it all I want it all I push so hard I break it My only home went down in smoke Its bittersweet I taste it So are you lonely Cause Im healin slowly In a moment your memory is fading on me Got no expectations now that Im forsaken Lets see what Im made of find out if I can take it now When Im alone pretend Im letting you go Just tell me who to blame for this When wakin up feels like a punch in the gut Just tell me whos to blame for this All I wanted was a piece of decent on the side On the side When we go to bed she be creepin on my side On my side I was drinkin all day I let her spend the night When I took her home she left somethin in my ride in my ride Damn Then my baby found out Now Im livin in a hotel livin in a hotel Aint that bad I got room service Livin in a hotel livin in a hotel What your life like Need a lifeline right now Ninetynine nights tryna get my mind right now Life is sour even when Im in the limelight now But I try somehow When Im alone pretend Im letting you go Just tell me who to blame for this When wakin up feels like a punch in the gut Just tell me whos to blame for this Tadadada tadadada tadadada Just tell me whos to blame for this Tadadada tadadada tadadada Just tell me whos to blame for this Tadadada tadadada tadadada Just tell me whos Tadadada tadadada tadadada Tadadada tadadada tadadada Tadadada tadadada tadadada Tadadada tadadada tadadada
 Waiting For A Miracle,Post Malone,Oh my God just take the firearm from me Holy fuck I understand that Im too weak Oh my God just shut me up for Heavens sake So I load one round Im scared to die while Im awake So I close my eyes and wait for a miracle And everything done for the dead after theyre dead is for the living And everything done on a day goddamn it thats our decision I kept my eyes closed it was easy now I see it with perfect vision And everything done for the dead after theyre dead is for the living Fuck me up fuck it get fucked up hey Fuck me up yeah and stay fucked up See Post Malone LiveGet tickets as low as 43You might also like5Embed Oh my God just take the firearm from me Holy fuck I understand that Im too weak Oh my God just shut me up for Heavens sake So I load one round Im scared to die while Im awake So I close my eyes and wait for a miracle And everything done for the dead after theyre dead is for the living And everything done on a day goddamn it thats our decision I kept my eyes closed it was easy now I see it with perfect vision And everything done for the dead after theyre dead is for the living Fuck me up fuck it get fucked up hey Fuck me up yeah and stay fucked up
" New Recording 12, Jan 3, 2020",Post Malone,Took another sip from my ash can Didnt bother me too much Spit another tooth in the trash can Dont bother keepin touch When I go out it aint gonna hurt at all Choir angels euthanasiaSee Post Malone LiveGet tickets as low as 43You might also like3Embed Took another sip from my ash can Didnt bother me too much Spit another tooth in the trash can Dont bother keepin touch When I go out it aint gonna hurt at all Choir angels euthanasia
 Waiting For Never,Post Malone,Shouldve seen the signs so I guess I deserved it Made a habit overlookin cracks in the surface Goin along with the bullshit you sold me What was I to do when the bottle stopped working Try to make a home out a house while its burning down Burn it to the ground Oh if all these walls could talk They would tell me Sit down man shut the fuck up You put me through hell but I cant get enough It took a little while baby then I woke up Woah when all these tattoos fade I will never look back youll be in th same place I keep tellin myslf if I wanted you to change Id be waitin for never waitin for never Yeah you coulda done a better job at hiding your intentions I know what you did stop bein so defensive Save it when did you become so jaded Id seen so many come and go then come back to me Ill never ever let another take half of me I cant win and still I chase it See Post Malone LiveGet tickets as low as 43You might also like Oh if all these walls could talk They would tell me Sit down man shut the fuck up You put me through hell but I cant get enough It took a little while baby then I woke up Woah when all these tattoos fade I will never look back youll be in the same place I keep tellin myself if I wanted you to change Id be waitin for never waitin for never Just look right at my face Yeah you should stay away Theres nothin left to fake Theres nothin left to take Oh if all these walls could talk They would tell me Sit down man shut the fuck up Shut the fuck up You put me through hell but I cant get enough Cant get enough It took a little while baby then I woke up Woah when all these tattoos fade I will never look back youll be in the same place I keep tellin myself if I wanted you to change Id be waitin for never waitin for never Waitin for never for never15Embed Shouldve seen the signs so I guess I deserved it Made a habit overlookin cracks in the surface Goin along with the bullshit you sold me What was I to do when the bottle stopped working Try to make a home out a house while its burning down Burn it to the ground Oh if all these walls could talk They would tell me Sit down man shut the fuck up You put me through hell but I cant get enough It took a little while baby then I woke up Woah when all these tattoos fade I will never look back youll be in th same place I keep tellin myslf if I wanted you to change Id be waitin for never waitin for never Yeah you coulda done a better job at hiding your intentions I know what you did stop bein so defensive Save it when did you become so jaded Id seen so many come and go then come back to me Ill never ever let another take half of me I cant win and still I chase it Oh if all these walls could talk They would tell me Sit down man shut the fuck up You put me through hell but I cant get enough It took a little while baby then I woke up Woah when all these tattoos fade I will never look back youll be in the same place I keep tellin myself if I wanted you to change Id be waitin for never waitin for never Just look right at my face Yeah you should stay away Theres nothin left to fake Theres nothin left to take Oh if all these walls could talk They would tell me Sit down man shut the fuck up Shut the fuck up You put me through hell but I cant get enough Cant get enough It took a little while baby then I woke up Woah when all these tattoos fade I will never look back youll be in the same place I keep tellin myself if I wanted you to change Id be waitin for never waitin for never Waitin for never for never
 Hateful,Post Malone,Youre worse than cigarettes you light a fire Got me coughin out my heart Yeah youre the type to try to throw my ass in jail Just because I was alive Honey you aint no angel you know lovin is fatal You get off on betrayal I guess we are the same though We couldve taken this shit all the way to Mars If we just played our parts but Love is fuckin hateful hateful Why is it you want me dead Callin me unfaithful faithful But you know who youre dealin with How am I supposed to lay low lay low When things are so beyond repair Love is fuckin hateful hateful to say You should know that she was just another face I was tryna get a taste Put yourself inside my shoes Dont you say I need you to give me space See Post Malone LiveGet tickets as low as 43You might also like Honey you aint no angel you know lovin is fatal You get off on betrayal I guess we are the same though Maybe shit would be a little different babe If I kept my ass in place but Love is fuckin hateful hateful Why is it you want me dead Callin me unfaithful faithful But you know who youre dealin with How am I supposed to lay low lay low When things are so beyond repair Love is fuckin hateful hateful to say You say that I cant hold you I cant hold you down Yeah always live in overdrive and then its over You say that you cant hold me you cant hold me down You say Love is fuckin hateful hateful Why is it you want me dead Callin me unfaithful faithful But you know who youre dealin with How am I supposed to lay low lay low When things are so beyond repair Love is fuckin hateful hateful to say2Embed Youre worse than cigarettes you light a fire Got me coughin out my heart Yeah youre the type to try to throw my ass in jail Just because I was alive Honey you aint no angel you know lovin is fatal You get off on betrayal I guess we are the same though We couldve taken this shit all the way to Mars If we just played our parts but Love is fuckin hateful hateful Why is it you want me dead Callin me unfaithful faithful But you know who youre dealin with How am I supposed to lay low lay low When things are so beyond repair Love is fuckin hateful hateful to say You should know that she was just another face I was tryna get a taste Put yourself inside my shoes Dont you say I need you to give me space Honey you aint no angel you know lovin is fatal You get off on betrayal I guess we are the same though Maybe shit would be a little different babe If I kept my ass in place but Love is fuckin hateful hateful Why is it you want me dead Callin me unfaithful faithful But you know who youre dealin with How am I supposed to lay low lay low When things are so beyond repair Love is fuckin hateful hateful to say You say that I cant hold you I cant hold you down Yeah always live in overdrive and then its over You say that you cant hold me you cant hold me down You say Love is fuckin hateful hateful Why is it you want me dead Callin me unfaithful faithful But you know who youre dealin with How am I supposed to lay low lay low When things are so beyond repair Love is fuckin hateful hateful to say
 Hollywood's Bleeding,Post Malone,Ooh ooh Ooh ooh Hollywoods bleeding vampires feedin Darkness turns to dust Everyones gone but no ones leavin Nobody left but us Tryna chase a feelin but well never feel it Ridin on the last train home Dyin in our sleep were livin out a dream We only make it out alone I just keep on hopin that you call me You say you wanna see me but you cant right now You never took the time to get to know me Were scared of losin somethin that we never found Were runnin out of reasons but we cant let go Yeah Hollywood is bleedin but we call it home Outside the winter sky turnin grey City up in smoke its only ash when it rains Howl at the moon and go to sleep in the day Love for everybody til the drugs fade away In the mornin blocking out the sun with the shades She gotta check her pulse to tell herself that she okay It seem like dyin young is an honor But whod be at my funeral I wonder I go out and all they eyes on me I show out do you like what you see And now they closin in on me Let em sharpen all they teeth This is more than I can handle blood in my Lambo Wish I could go oh Im losin hoope I light a candle some Palo Santo For all these demons wish I could just go home See Post Malone LiveGet tickets as low as 43You might also like I just keep on hopin that you call me You say you wanna see me but you cant right now You never took the time to get to know me Were scared of losin somethin that we never found Were runnin out of reasons but we cant let go Yeah Hollywood is bleedin but we call it home129Embed Ooh ooh Ooh ooh Hollywoods bleeding vampires feedin Darkness turns to dust Everyones gone but no ones leavin Nobody left but us Tryna chase a feelin but well never feel it Ridin on the last train home Dyin in our sleep were livin out a dream We only make it out alone I just keep on hopin that you call me You say you wanna see me but you cant right now You never took the time to get to know me Were scared of losin somethin that we never found Were runnin out of reasons but we cant let go Yeah Hollywood is bleedin but we call it home Outside the winter sky turnin grey City up in smoke its only ash when it rains Howl at the moon and go to sleep in the day Love for everybody til the drugs fade away In the mornin blocking out the sun with the shades She gotta check her pulse to tell herself that she okay It seem like dyin young is an honor But whod be at my funeral I wonder I go out and all they eyes on me I show out do you like what you see And now they closin in on me Let em sharpen all they teeth This is more than I can handle blood in my Lambo Wish I could go oh Im losin hoope I light a candle some Palo Santo For all these demons wish I could just go home I just keep on hopin that you call me You say you wanna see me but you cant right now You never took the time to get to know me Were scared of losin somethin that we never found Were runnin out of reasons but we cant let go Yeah Hollywood is bleedin but we call it home
